Accident_ID,Accident_Severity,Accident_Date,Latitude,Longitude,Light_Conditions,District_Area,Number_of_Casualties,Number_of_Vehicles,Vehicle_Type,Road_Surface_Conditions,Road_Type,Urban_or_Rural
BD202000000,Fatal,23-11-2020,24.338508,88.732271,Daylight,Rajshahi,1,3,Car,Dry,Narrow road,Urban
BD202000001,Fatal,29-10-2020,24.296399,89.940378,Daylight,Tangail,1,1,Motorcycle,Dry,Narrow road,Urban
BD202000002,Serious,28-11-2020,22.913204,91.306239,Darkness - no lights,Feni,7,2,Bicycle,Dry,Dual carriage,Rural
BD202000003,Serious,23-06-2020,23.374417,91.268782,Daylight,Comilla,3,2,Truck,Under construction,Dual carriage,Rural
BD202000004,Slight,25-06-2020,23.483023,91.230837,Daylight,Comilla,1,4,Van,Dry,Narrow road,Rural
BD202000005,Slight,17-11-2020,24.754117,89.482778,Daylight,Bogura,10,2,Bus,Wet or damp,Single lane,Urban
BD202000006,Serious,29-04-2020,24.430089,88.555061,Darkness - no lights,Rajshahi,7,3,Rickshaw,Wet or damp,Single lane,Rural
BD202000007,Slight,17-04-2020,23.399165,91.104917,Daylight,Comilla,2,5,Motorcycle,Wet or damp,Single lane,Rural
BD202000008,Fatal,18-05-2020,22.942848,91.394742,Daylight,Feni,4,3,Bus,Slippery,Single lane,Rural
BD202000009,Fatal,03-02-2020,25.730289,89.225095,Darkness - no lights,Rangpur,10,3,Pickup,Under construction,Narrow road,Rural
BD202000010,Slight,14-03-2020,23.485171,91.094379,Darkness - no lights,Comilla,3,2,Bicycle,Under construction,Narrow road,Rural
BD202000011,Serious,04-07-2020,24.705529,90.388227,Daylight,Mymensingh,3,5,Bus,Dry,Dual carriage,Urban
BD202000012,Serious,14-12-2020,24.241214,89.985142,Darkness - lights lit,Tangail,10,1,Pickup,Slippery,Narrow road,Urban
BD202000013,Slight,14-12-2020,24.303535,88.627516,Darkness - lights lit,Rajshahi,9,3,Truck,Slippery,Single lane,Urban
BD202000014,Fatal,20-08-2020,23.828783,90.303648,Darkness - no lights,Dhaka,5,5,Truck,Slippery,Narrow road,Urban
BD202000015,Slight,19-03-2020,24.871509,89.290926,Daylight,Bogura,3,5,Rickshaw,Under construction,Dual carriage,Urban
BD202000016,Fatal,04-07-2020,22.72971,91.207533,Darkness - no lights,Noakhali,4,1,Truck,Dry,Narrow road,Rural
BD202000017,Slight,05-02-2020,23.075126,91.462815,Darkness - lights lit,Feni,3,2,Car,Slippery,Narrow road,Rural
